"","date","gdp","ir","cpi"
"1",1970-01-01,1.911374445,9.92,5.526357
"2",1970-04-01,1.262038455,9.186666,5.437259
"3",1970-07-01,1.377238609,8.673333,5.275131
"4",1970-10-01,1.570186063,7.92,4.971684
"5",1971-01-01,0.129083296,6.376667,4.854039
"6",1971-04-01,1.821986785,6.49,5.231388
"7",1971-07-01,1.630601407,6.37,5.61089
"8",1971-10-01,0.856781066,5.91,5.874631
"9",1972-01-01,1.309796145,5.256667,5.73001
"10",1972-04-01,0.38417729,5.14,5.544933
"11",1972-07-01,0.887960161,4.786667,6.130148
"12",1972-10-01,1.660236385,6.843333,6.819591
"13",1973-01-01,1.99228223,7.803333,6.460502
"14",1973-04-01,1.080382169,7.84,7.095411
"15",1973-07-01,0.858845143,9.573334,7.612559
"16",1973-10-01,1.278319135,11.3,8.299478
"17",1974-01-01,0.959287031,12.75,11.33161
"18",1974-04-01,0.500642661,12.93,13.56076
"19",1974-07-01,0.943450926,14.00667,14.56097
"20",1974-10-01,-1.510183316,12.39,15.00536
"21",1975-01-01,-0.44990402,9.92,13.94988
"22",1975-04-01,0.252750122,7.693333,12.16485
"23",1975-07-01,0.38735228,7.166667,10.93224
"24",1975-10-01,1.350335463,6.913333,9.925443
"25",1976-01-01,1.467728516,7.226666,9.566992
"26",1976-04-01,1.192260978,7.823333,9.406817
"27",1976-07-01,0.472915631,9.226666,9.551657
"28",1976-10-01,1.245840306,10.48333,9.961848
"29",1977-01-01,1.105448055,9.94,9.021312
"30",1977-04-01,0.434796121,9.19,9.852317
"31",1977-07-01,0.458443057,8.53,9.905101
"32",1977-10-01,0.228252482,9.203333,9.194295
"33",1978-01-01,1.389138596,9.88,9.204782
"34",1978-04-01,1.662617478,8.203333,8.987108
"35",1978-07-01,-0.087958221,7.493333,9.300234
"36",1978-10-01,0.851110816,7.05,9.496911
"37",1979-01-01,0.860055009,6.85,10.14946
"38",1979-04-01,0.955992372,7.763333,10.12166
"39",1979-07-01,1.143098761,10.82333,10.73074
"40",1979-10-01,0.190206929,12.49667,11.52668
"41",1980-01-01,1.194674745,12.99667,13.31536
"42",1980-04-01,-0.727277848,12.64667,13.71311
"43",1980-07-01,0.153143808,11.67667,13.62169
"44",1980-10-01,-0.2012078,11.51667,13.58977
"45",1981-01-01,0.320594483,11.96667,12.67063
"46",1981-04-01,0.703806164,15.94,12.78833
"47",1981-07-01,0.65156614,17.44,13.61394
"48",1981-10-01,0.586239109,15.69,14.10749
"49",1982-01-01,0.836427955,14.94667,13.9795
"50",1982-04-01,0.6867047,16.08333,13.74436
"51",1982-07-01,-0.015567912,14.39,10.99855
"52",1982-10-01,0.591139312,13.04333,9.47575
"53",1983-01-01,0.418558294,12.71,9.26683
"54",1983-04-01,0.029013243,12.44,8.963511
"55",1983-07-01,0.098068655,12.39,9.752281
"56",1983-10-01,0.611867076,12.33,9.833547
"57",1984-01-01,0.40808463,12.41333,8.830132
"58",1984-04-01,0.419902902,12.30333,7.789371
"59",1984-07-01,0.702869253,11.41333,7.317653
"60",1984-10-01,-0.076185473,10.68,6.831429
"61",1985-01-01,0.265512303,10.60667,6.440523
"62",1985-04-01,0.904963385,10.28667,6.461053
"63",1985-07-01,0.520144591,9.803333,5.667479
"64",1985-10-01,0.426638419,9.076667,4.801397
"65",1986-01-01,0.355012336,8.693334,3.531438
"66",1986-04-01,1.110608755,7.363333,2.410658
"67",1986-07-01,0.478657354,7.106667,2.095118
"68",1986-10-01,0.103115291,7.674667,2.14494
"69",1987-01-01,0.149510312,8.340533,3.244592
"70",1987-04-01,1.460792645,8.184033,3.386331
"71",1987-07-01,0.705535501,7.978233,3.365483
"72",1987-10-01,1.438302229,8.572967,3.160041
"73",1988-01-01,1.224568126,8.0147,2.417405
"74",1988-04-01,0.845353475,7.818267,2.536449
"75",1988-07-01,1.289605791,7.727334,2.838991
"76",1988-10-01,0.868121204,8.208366,3.003953
"77",1989-01-01,1.186652103,9.025666,3.383163
"78",1989-04-01,1.181078757,8.889267,3.622906
"79",1989-07-01,1.077038149,9.2082,3.397683
"80",1989-10-01,1.316321071,10.4721,3.587874
"81",1990-01-01,0.423247237,11.01693,3.367018
"82",1990-04-01,0.516290633,9.968233,3.023542
"83",1990-07-01,0.501011405,10.19607,3.092998
"84",1990-10-01,-0.004062582,10.10437,3.294841
"85",1991-01-01,0.126456367,9.831433,3.36004
"86",1991-04-01,0.400279787,9.4292,3.290976
"87",1991-07-01,0.216524775,9.5408,3.202601
"88",1991-10-01,0.687002371,9.658667,3.005025
